4G_App_Thrp,PDCP_Thrp,RSRP,RSRQ,SINR,PDSCH_RB
42306.22,37799.48,-113.2,-15.6,5.8,52.0
42281.75,40044.19,-112.0,-13.6,7.9,50.8
38275.43,43719.92,-111.8,-12.7,7.6,52.0
38484.92,46970.14,-111.8,-13.5,7.4,53.8
46208.86,49127.00,-110.4,-12.4,10.5,52.0
46203.88,47019.30,-108.2,-13.9,12.3,46.0
46195.88,48661.58,-109.5,-13.4,12.3,46.4
50052.31,50466.75,-110.8,-13.7,10.2,52.4
47107.85,52393.09,-105.0,-13.4,7.6,61.2
49180.35,41864.49,-111.8,-14.9,11.3,41.2
53939.20,28784.33,-112.7,-12.3,7.0,36.9
35444.75,31168.78,-112.7,-13.2,7.1,44.0
29420.72,24409.81,-113.4,-13.5,7.4,34.4
30675.30,24210.91,-112.5,-13.0,6.7,31.1
22935.99,18361.63,-111.5,-11.7,11.6,22.4
21475.43,12456.27,-112.6,-8.9,12.5,23.0
,0.00,-115.7,-10.5,12.0,20.0
,0.00,-109.4,-12.3,12.7,20.0
,0.00,-106.8,-10.7,10.9,4.0
,0.00,-118.3,-10.6,14.9,
,0.00,-111.3,-11.4,12.7,4.0
,0.00,-110.6,-10.1,14.6,
,0.00,-104.3,-8.0,19.1,4.0
,0.00,-121.8,-10.9,10.0,
,0.00,-112.4,-10.9,8.3,4.0
,0.00,-109.6,-11.5,12.6,4.0
,,-116.2,-5.9,16.1,
,,-107.9,-9.4,10.4,4.0
,0.84,-119.2,-9.9,8.4,4.0
,0.00,-102.5,-9.0,14.5,4.0
,0.00,-101.6,-9.0,16.6,4.0
,0.55,-104.2,-9.7,16.3,
,0.06,-98.8,-8.5,21.8,4.0
,,-108.8,-7.6,24.2,4.0
,0.00,-98.5,-8.7,22.3,4.0
,0.00,-102.2,-8.0,20.0,4.0
,0.00,-84.6,-7.9,21.7,4.0
,0.00,-107.9,-8.9,22.4,4.0
,0.00,-98.0,-7.9,19.8,4.0
,0.00,-88.6,-8.9,18.7,
,0.00,-108.8,-7.8,20.4,4.0
,0.00,-100.2,-7.9,17.3,4.0
,0.00,-89.4,-7.8,18.8,4.0
,0.00,-110.1,-7.7,19.7,
,0.00,-105.3,-8.6,14.1,4.0
,1.69,-103.4,-9.4,10.0,
,0.00,-116.3,-8.5,12.2,4.0
,4.93,-96.8,-8.1,16.3,5.3
,8378.52,-95.9,-10.1,14.8,11.6
7418.44,28932.37,-97.8,-13.4,16.1,36.0
30704.45,63821.42,-101.7,-15.0,15.0,66.0
61615.04,69859.09,-104.9,-16.4,13.4,84.9
62652.42,60543.36,-103.3,-19.4,10.8,91.2
61741.78,46168.01,-104.4,-20.2,5.6,87.2
46723.64,33001.98,-109.9,-20.3,0.5,80.0
30553.60,26771.06,-107.3,-18.4,3.5,87.2
14940.80,47408.16,-106.9,-17.8,2.2,85.2
63690.41,57294.95,-102.8,-15.6,8.1,74.0
28274.48,44864.29,-94.3,-14.9,11.6,61.8
56520.53,44648.80,-96.2,-13.4,13.0,56.4
43374.66,30093.72,-94.6,-11.8,15.1,33.6
41789.85,26870.43,-91.9,-10.7,17.8,20.4
26619.76,28387.40,-89.6,-11.7,19.0,20.9
26880.00,26964.02,-90.0,-12.1,18.5,17.6
27066.58,20981.19,-88.4,-10.6,20.4,16.4
18957.44,19458.50,-88.3,-9.9,18.7,14.4
26529.06,10672.51,-89.1,-11.3,17.0,8.4
3774.40,9120.98,-88.2,-9.9,19.6,10.4
11278.40,9317.04,-90.0,-9.8,18.2,12.0
7639.64,13688.64,-81.7,-10.3,19.9,13.3
13911.88,15448.89,-87.8,-9.7,14.3,15.2
15493.43,18521.75,-88.9,-12.1,14.1,18.8
16337.85,21695.50,-91.8,-10.9,14.4,19.2
19142.84,23330.25,-91.2,-10.0,17.3,18.0
22989.88,24917.76,-90.7,-10.3,13.6,21.3
26866.45,25142.22,-94.2,-11.9,9.2,22.7
23012.21,21407.05,-96.7,-12.4,8.8,22.8
22894.35,22853.22,-99.5,-14.4,4.3,33.6
22976.62,24913.48,-101.9,-12.6,4.9,39.2
22978.12,24191.78,-97.9,-12.9,8.1,39.1
26845.95,16325.21,-88.4,-10.7,19.0,18.4
15121.48,15510.30,-92.9,-10.5,19.2,21.2
15270.86,18226.88,-95.1,-10.4,21.3,17.3
15276.80,19518.10,-92.8,-10.1,24.9,19.2
19137.92,22603.30,-85.4,-11.3,21.2,20.0
22997.64,24437.24,-93.1,-10.3,24.3,22.2
24348.54,27275.00,-91.8,-11.0,23.1,22.4
29394.55,29594.79,-89.0,-12.7,20.6,21.2
26873.42,30495.82,-86.7,-10.3,26.1,23.6
30733.83,29736.81,-87.8,-11.6,24.5,20.0
