4G_App_Thrp,PDCP_Thrp,RSRP,RSRQ,SINR,PDSCH_RB
64833.81,63383.18,-67.6,-11.0,23.7,45.6
62150.86,71823.68,-69.5,-11.2,21.1,58.4
63755.78,61223.43,-70.1,-10.9,17.5,45.0
49804.75,57490.04,-72.0,-11.2,14.4,48.5
64910.37,62535.17,-71.1,-10.9,17.9,52.0
52200.64,65784.13,-71.4,-9.9,23.7,50.0
70202.37,68411.96,-71.1,-11.3,19.9,56.4
36897.33,56100.26,-71.3,-12.0,11.3,52.4
58203.88,55684.36,-73.4,-14.3,11.1,57.2
61973.15,64655.37,-73.0,-15.2,17.7,56.8
54669.87,59797.70,-72.4,-14.3,18.4,52.8
61996.82,66904.65,-73.8,-15.8,16.2,65.8
62093.88,64793.78,-74.4,-14.4,13.7,62.0
70039.11,38620.08,-71.1,-12.4,17.9,46.4
46002.64,40371.73,-69.0,-13.3,19.5,46.8
38901.20,44040.27,-68.8,-13.3,20.0,34.8
39617.35,32866.11,-69.0,-14.7,17.8,36.8
37980.93,38493.34,-69.3,-13.8,15.4,37.8
38753.26,41740.50,-70.4,-13.8,19.3,35.2
38891.99,30724.91,-69.9,-12.1,16.8,28.4
34701.50,28439.70,-70.4,-12.1,17.2,24.7
29602.80,18828.60,-69.9,-12.2,20.0,20.0
20648.96,18377.84,-70.1,-10.7,17.8,19.6
15549.58,16362.44,-70.9,-10.1,16.6,18.8
19224.00,21416.11,-74.2,-12.1,13.5,28.4
19440.00,31072.11,-73.1,-12.1,14.1,41.1
27064.80,33347.74,-72.7,-11.4,12.3,44.0
35002.13,37992.87,-73.8,-12.2,10.3,53.2
34859.30,42964.42,-76.4,-13.7,6.9,80.0
42802.02,29001.09,-78.1,-13.6,9.5,66.4
30675.93,26667.93,-78.4,-15.5,7.6,69.3
26983.86,26836.46,-81.9,-16.9,0.3,79.2
26966.77,21026.10,-80.8,-17.5,1.6,72.0
19295.95,20699.28,-76.7,-15.3,5.2,41.6
22781.13,12660.31,-74.6,-12.4,10.8,38.8
11610.00,14316.64,-82.3,-17.2,-2.1,68.0
15130.80,17964.72,-75.1,-13.4,12.9,22.4
15503.94,22628.83,-75.2,-11.3,11.5,26.8
11488.68,19149.32,-75.2,-11.6,14.9,22.5
23339.86,32181.66,-71.8,-12.2,14.9,32.0
19261.86,27647.98,-68.1,-12.9,14.9,23.6
31000.77,22036.75,-66.4,-12.1,22.0,22.2
26989.03,23809.24,-67.6,-13.6,24.4,22.4
23334.22,22134.96,-67.9,-12.4,23.6,20.4
19270.52,21978.11,-64.5,-11.9,24.4,19.6
23251.54,29019.34,-65.8,-13.8,23.3,25.2
23176.80,33596.64,-66.8,-12.4,23.9,28.8
33272.26,39111.99,-65.6,-15.7,19.5,38.8
36547.54,39023.46,-66.1,-14.7,21.3,44.4
38890.80,29228.34,-69.7,-14.1,20.2,32.4
34673.66,23305.65,-72.3,-14.1,16.4,33.6
23297.35,25652.99,-74.0,-16.0,11.8,34.8
25673.67,18271.19,-72.0,-13.3,9.0,51.6
16830.22,15257.64,-72.7,-14.6,11.2,55.6
13819.36,31029.87,-68.7,-12.8,13.2,49.8
28575.49,36461.39,-69.1,-11.3,9.7,48.8
34812.37,39593.28,-68.3,-12.5,6.1,64.0
38977.20,37047.46,-65.2,-12.8,7.4,46.4
38572.53,38989.51,-65.7,-12.3,10.0,49.8
38970.46,42004.95,-59.7,-11.4,18.3,52.8
19306.68,45890.89,-58.8,-13.0,16.7,54.7
42803.23,48598.18,-61.6,-14.7,16.3,72.0
