4G_App_Thrp,PDCP_Thrp,RSRP,RSRQ,SINR,PDSCH_RB
55265.6,74845.52,-88.9,-12.2,17.3,90.9
84388.26,88357.28,-89,-12,16.6,95.6
84388.26,88357.28,-89,-12,16.6,95.6
64864.8,83557.47,-88.9,-12.2,14.5,89.6
64864.8,83557.47,-88.9,-12.2,14.5,89.6
72883.2,89972.51,-87.4,-12.1,15.4,92.7
72883.2,89972.51,-87.4,-12.1,15.4,92.7
108112.97,88111.32,-86.5,-12.4,17,85.3
108112.97,88111.32,-86.5,-12.4,17,85.3
88244,83458.75,-87.1,-12.8,13.2,89.6
88244,83458.75,-87.1,-12.8,13.2,89.6
88056.47,73767.28,-86.7,-12.2,15.4,86.8
88056.47,73767.28,-86.7,-12.2,15.4,86.8
80506.4,67677.29,-86.4,-12,15.6,88.8
80506.4,67677.29,-86.4,-12,15.6,88.8
65000,67104.27,-85.2,-11.8,16.5,79.2
65000,67104.27,-85.2,-11.8,16.5,79.2
69035.2,63138.53,-86.6,-11.7,16.8,88.4
69035.2,63138.53,-86.6,-11.7,16.8,88.4
54485.6,68902.08,-86.1,-11.7,15.4,88.4
54485.6,68902.08,-86.1,-11.7,15.4,88.4
71812,72593.63,-85,-11.9,21.3,82
71812,72593.63,-85,-11.9,21.3,82
68842.88,76519.6,-83,-12,18.4,76.8
68842.88,76519.6,-83,-12,18.4,76.8
61276.8,65164.97,-86.3,-12.2,21.3,84.8
61276.8,65164.97,-86.3,-12.2,21.3,84.8
70917.6,51844.14,-86.9,-12,15.8,68.8
70917.6,51844.14,-86.9,-12,15.8,68.8
63180,36878.16,-87.9,-13.3,14.9,74.7
63180,36878.16,-87.9,-13.3,14.9,74.7
41766.4,54392.53,-88.3,-11.5,14.8,81.6
41766.4,54392.53,-88.3,-11.5,14.8,81.6
19489.6,72852.88,-88.1,-12.2,15.8,87.2
19489.6,72852.88,-88.1,-12.2,15.8,87.2
38937.6,52899.88,-87.8,-12.1,18.7,70
38937.6,52899.88,-87.8,-12.1,18.7,70
94145.47,56973.37,-87.6,-11.9,19.4,68
94145.47,56973.37,-87.6,-11.9,19.4,68
72820.8,74943.01,-87.3,-11.7,19.9,90.8
72820.8,74943.01,-87.3,-11.7,19.9,90.8
69094.88,80779.86,-87.1,-11.9,17.9,95.2
69094.88,80779.86,-87.1,-11.9,17.9,95.2
42047.2,61050.49,-87,-12.6,16.9,90
42047.2,61050.49,-87,-12.6,16.9,90
