POLQAScoreDL,AggActiveEcIo,AggActiveRSCP,ActiveSetMemberCount,AggActiveoverAggNonActive,BestActiveoverBestNonActive,DetectedSetCount,MonitoredSetCount,PathlossTop1,ULintfTop1,RACHLastTXpower,EcIoA1,EcIoA2,RSCPA1,RSCPA2,Speed,ASU_to_ASUC_ms,E1A_to_ASU_Delay_ms,E1A_to_ASUC_Delay_ms,E1B_to_ASU_Delay_ms,E1B_to_ASUC_Delay_ms,Interval_ASU_ASU_seconds,CompositeBLER%,NumofErrorBlocks,ReceivedGoodBlocks-Sum
3.519999981,-5,-69.5,2,-11.19999981,-6.400000095,4,3,115.5999985,-106,-22,-6.400000095,-11.5,-70.80000305,-76.59999847,39,2,406,408,406,408,2.900000095,11.89999962,31,229
4.190000057,-6.5,-67.09999847,1,5.5,6.199999809,0,3,115.5999985,-106,-22,-8.100000381,-9.899999619,-68.69999695,-70,26.79999924,2,493,494,354,356,1.159999967,12.89999962,48,351
4.070000172,-5.699999809,-72.90000153,2,-12.30000019,-6.699999809,5,3,110.1999969,-106,-22,-6.699999809,-14.5,-73.69999695,-81,25.10000038,2,493,494,354,356,1.159999967,14.60000038,69,436
4.110000134,-6.599999905,-83.30000305,2,-15,-8.300000191,8,5,110.1999969,-106,-22,-8.300000191,-12.39999962,-85.30000305,-89,30.20000076,132,503,678,478,610,0.839999974,6.800000191,17,236
4.329999924,-5.699999809,-73.69999695,1,-0.300000012,4.699999809,7,5,110.1999969,-106,-22,-5.699999809,-11.69999981,-73.69999695,-71.40000153,29.89999962,0,490,490,329,331,2.170000076,8.800000191,22,253
3.289999962,-6,-65,2,5.199999809,5.900000095,0,2,110.1999969,-106,-22,-7.300000191,-11.69999981,-66.09999847,-71.40000153,24.60000038,23,808,835,329,331,0.819999993,13.19999981,50,344
4.179999828,-5.099999905,-67.90000153,3,4.800000191,6,2,4,110.1999969,-106,-22,-6.800000191,-12.39999962,-69.5,-75.09999847,43.5,0,626,627,519,520,1.129999995,10,26,235
3.609999895,-9.899999619,-60.5,1,6.900000095,11.30000019,0,4,110.1999969,-106,-22,-9.899999619,-12.39999962,-60.5,-71.80000305,29.29999924,0,204,204,248,248,1.049999952,10.30000019,14,122
3.99000001,-9.699999809,-72.69999695,1,-2,0.200000003,1,2,110.1999969,-106,-22,-9.699999809,-12.39999962,-72.69999695,-71.80000305,35,0,204,204,250,250,1.710000038,31.10000038,37,82
4.269999981,-6.800000191,-66,2,8,7.400000095,0,3,110.1999969,-106,-22,-8.699999809,-12.39999962,-67.69999695,-71.80000305,28.70000076,0,204,204,250,250,1.710000038,20,50,200
4.360000134,-2.200000048,-53.09999847,1,-7.099999905,-2.299999952,3,2,110.1999969,-106,-22,-2.200000048,-8.699999809,-53.09999847,-66.09999847,36.79999924,0,396,396,349,376,3.460000038,23.20000076,55,190
3.910000086,-4.400000095,-61.40000153,2,3.599999905,4.5,1,5,110.1999969,-106,-22,-6.5,-8.699999809,-63.29999924,-66.09999847,46,0,396,396,349,376,3.460000038,4.900000095,7,135
3.349999905,-4.900000095,-61.90000153,2,-4.800000191,-3.900000095,1,4,110.1999969,-106,-22,-8,-10,-68.69999695,-65.69999695,8.899999619,34,362,404,349,376,1.049999952,3.400000095,42,1253
4.139999866,-5.5,-52.59999847,2,-7.099999905,-6.5,1,1,110.1999969,-106,-22,-6.5,-14.80000019,-53.90000153,-61.59999847,43.70000076,17,1102,1144,234,251,0.920000017,4.699999809,13,266
4.159999847,-6.599999905,-50.29999924,3,-11.39999962,-7.800000191,3,1,110.1999969,-106,-22,-7.800000191,-15,-51,-61.5,44.40000153,2,1102,1144,212,215,0.980000019,9.899999619,13,118
2.869999886,-6.699999809,-69.30000305,2,3.599999905,5.300000191,0,8,110.1999969,-106,-22,-8.699999809,-11,-71.80000305,-73.19999695,39.09999847,39,1102,1144,715,731,0.810000002,15.80000019,39,211
3.779999971,-9.5,-56.79999924,1,-14.30000019,-9.5,3,3,111.4000015,-106,-22,-9.5,-10.60000038,-56.79999924,-73.19999695,44.09999847,0,275,275,470,509,16.39999962,25.70000076,29,84
4.130000114,-3.900000095,-61.20000076,1,-11.10000038,-3.900000095,6,6,111.4000015,-106,-22,-3.900000095,-10.60000038,-61.20000076,-73.19999695,36.90000153,0,275,275,470,509,16.39999962,31,35,78
